Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
9.305,0.0,0.0,0.0,0.0,0.0,0.0
9.331,0.0,0.0,0.0,0.0,0.0,0.0
9.359,0.0,0.0,0.0,0.0,0.0,0.0
9.384,0.0,0.0,0.0,0.0,0.0,0.0
9.409,0.0,0.0,0.0,0.0,0.0,0.0
9.434,0.0,0.0,0.0,0.0,0.0,0.0
9.463,0.0,0.0,0.0,0.0,0.0,0.0
9.488,0.0,0.0,0.0,0.0,0.0,0.0
9.513,0.0,0.0,0.0,0.0,0.0,0.0
9.539,0.0,0.0,0.0,0.0,0.0,0.0
9.564,0.0,0.0,0.0,0.0,0.0,0.0
9.592,0.0,0.0,0.0,0.0,0.0,0.0
9.617,0.0,0.0,0.0,0.0,0.0,0.0
9.647,0.0,0.0,0.0,0.0,0.0,0.0
9.673,0.0,0.0,0.0,0.0,0.0,0.0
9.698,0.0,0.0,0.0,0.0,0.0,0.0
9.724,0.0,0.0,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0,0.0,0.0
9.78,0.0,0.0,0.0,0.0,0.0,0.0
9.806,0.0,0.0,0.0,0.0,0.0,0.0
9.833,0.0,0.0,0.0,0.0,0.0,0.0
9.858,0.0,0.0,0.0,0.0,0.0,0.0
9.884,0.0,0.0,0.0,0.0,0.0,0.0
9.913,0.0,0.0,0.0,0.0,0.0,0.0
9.938,0.0,0.0,0.0,0.0,0.0,0.0
9.964,0.0,0.0,0.0,0.0,0.0,0.0
9.993,0.0,0.0,0.0,0.0,0.0,0.0
10.022,0.0,0.0,0.0,0.0,0.0,0.0
10.047,0.0,0.0,0.0,0.0,0.0,0.0
10.074,0.0,0.0,0.0,0.0,0.0,0.0
10.1,0.0,0.0,0.0,0.0,0.0,0.0
10.126,0.0,0.0,0.0,0.0,0.0,0.0
10.151,0.0,0.0,0.0,0.0,0.0,0.0
10.176,0.0,0.0,0.0,0.0,0.0,0.0
10.204,0.0,0.0,0.0,0.0,0.0,0.0
10.233,0.0,0.0,0.0,0.0,0.0,0.0
10.258,0.0,0.0,0.0,0.0,0.0,0.0
10.283,0.0,0.0,0.0,0.0,0.0,0.0
10.31,0.0,0.0,0.0,0.0,0.0,0.0
10.34,0.0,0.0,0.0,0.0,0.0,0.0
10.366,0.0,0.0,0.0,0.0,0.0,0.0
10.394,0.0,0.0,0.0,0.0,0.0,0.0
10.423,0.0,0.0,0.0,0.0,0.0,0.0
10.448,0.0,0.0,0.0,0.0,0.0,0.0
10.474,0.0,0.0,0.0,0.0,0.0,0.0
10.499,0.0,0.0,0.0,0.0,0.0,0.0
10.526,0.0,0.0,0.0,0.0,0.0,0.0
10.554,0.0,0.0,0.0,0.0,0.0,0.0
10.579,0.0,0.0,0.0,0.0,0.0,0.0
10.607,0.0,0.0,0.0,0.0,0.0,0.0
10.633,0.0,0.0,0.0,0.0,0.0,0.0
10.658,0.0,0.0,0.0,0.0,0.0,0.0
10.683,0.0,0.0,0.0,0.0,0.0,0.0
10.708,0.0,0.0,0.0,0.0,0.0,0.0
10.734,0.0,0.0,0.0,0.0,0.0,0.0
10.759,0.0,0.0,0.0,0.0,0.0,0.0
10.784,0.0,0.0,0.0,0.0,0.0,0.0
10.809,0.0,0.0,0.0,0.0,0.0,0.0
10.834,0.0,0.0,0.0,0.0,0.0,0.0
10.864,0.0,0.0,0.0,0.0,0.0,0.0
10.893,0.0,0.0,0.0,0.0,0.0,0.0
10.921,0.0,0.0,0.0,0.0,0.0,0.0
10.951,0.0,0.0,0.0,0.0,0.0,0.0
10.977,0.0,0.0,0.0,0.0,0.0,0.0
11.004,0.0,0.0,0.0,0.0,0.0,0.0
11.029,0.0,0.0,0.0,0.0,0.0,0.0
11.054,0.0,0.0,0.0,0.0,0.0,0.0
11.084,0.0,0.0,0.0,0.0,0.0,0.0
11.113,0.0,0.0,0.0,0.0,0.0,0.0
11.138,0.0,0.0,0.0,0.0,0.0,0.0
11.164,0.0,0.0,0.0,0.0,0.0,0.0
11.193,0.0,0.0,0.0,0.0,0.0,0.0
11.218,0.0,0.0,0.0,0.0,0.0,0.0
11.247,0.0,0.0,0.0,0.0,0.0,0.0
11.272,0.0,0.0,0.0,0.0,0.0,0.0
11.298,0.0,0.0,0.0,0.0,0.0,0.0
11.325,0.0,0.0,0.0,0.0,0.0,0.0
11.35,0.0,0.0,0.0,0.0,0.0,0.0
11.375,0.0,0.0,0.0,0.0,0.0,0.0
11.4,0.0,0.0,0.0,0.0,0.0,0.0
11.427,0.0,0.0,0.0,0.0,0.0,0.0
11.453,0.0,0.0,0.0,0.0,0.0,0.0
11.479,0.0,0.0,0.0,0.0,0.0,0.0
11.504,0.0,0.0,0.0,0.0,0.0,0.0
11.533,0.0,0.0,0.0,0.0,0.0,0.0
11.558,0.0,0.0,0.0,0.0,0.0,0.0
11.584,0.0,0.0,0.0,0.0,0.0,0.0
11.609,0.0,0.0,0.0,0.0,0.0,0.0
11.634,0.0,0.0,0.0,0.0,0.0,0.0
11.659,0.0,0.0,0.0,0.0,0.0,0.0
11.685,0.0,0.0,0.0,0.0,0.0,0.0
11.713,0.0,0.0,0.0,0.0,0.0,0.0
11.74,0.0,0.0,0.0,0.0,0.0,0.0
11.765,0.0,0.0,0.0,0.0,0.0,0.0
11.793,0.0,0.0,0.0,0.0,0.0,0.0
11.818,0.0,0.0,0.0,0.0,0.0,0.0
11.847,0.0,0.0,0.0,0.0,0.0,0.0
11.873,0.0,0.0,0.0,0.0,0.0,0.0
11.898,0.0,0.0,0.0,0.0,0.0,0.0
11.924,0.0,0.0,0.0,0.0,0.0,0.0
11.953,0.0,0.0,0.0,0.0,0.0,0.0
11.978,0.0,0.0,0.0,0.0,0.0,0.0
12.003,0.0,0.0,0.0,0.0,0.0,0.0
12.028,0.0,0.0,0.0,0.0,0.0,0.0
12.054,0.0,0.0,0.0,0.0,0.0,0.0
12.08,0.0,0.0,0.0,0.0,0.0,0.0
12.106,0.0,0.0,0.0,0.0,0.0,0.0
12.133,0.0,0.0,0.0,0.0,0.0,0.0
12.158,0.0,0.0,0.0,0.0,0.0,0.0
12.185,0.0,0.0,0.0,0.0,0.0,0.0
